agent_type,noise,pB_scale,pB_lr,coop_bias,gamma,alpha,policy_len,update_interval,preferences,noisy_A,mean_score,mean_cooperation_rate,mean_rank
Factorized,0.15,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1835.2875,0.4613611111111111,16.25
Factorized,0.15,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1854.6875,0.46408333333333335,15.0
Factorized,0.15,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1888.3375,0.5093194444444444,14.0
Factorized,0.15,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1843.725,0.4099861111111111,15.0
Factorized,0.15,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1817.5375,0.3657916666666666,16.5
Factorized,0.15,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1853.5625,0.45484722222222224,15.0
Factorized,0.15,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1912.65,0.5503611111111111,12.75
Factorized,0.15,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1881.3,0.4982777777777778,13.75
Factorized,0.15,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1903.75,0.5328333333333333,13.0
Factorized,0.15,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,1835.7875,0.38698611111111114,15.75
Factorized,0.15,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1873.3125,0.4972361111111111,14.25
Factorized,0.15,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,1907.725,0.5961527777777778,11.5
Factorized,0.15,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,1896.525,0.5153194444444444,13.5
Factorized,0.15,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1864.8875,0.4897361111111111,14.5
Factorized,0.15,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1896.8,0.5988333333333333,13.5
Factorized,0.15,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1879.2625,0.4966111111111111,14.0
Factorized,0.15,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1917.35,0.5392083333333333,11.25
Factorized,0.15,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1856.225,0.46394444444444444,15.0
Factorized,0.15,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1879.9,0.5538888888888889,14.5
Factorized,0.15,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1832.975,0.44695833333333335,16.0
Factorized,0.15,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1889.2375,0.43680555555555556,13.5
Factorized,0.15,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1863.95,0.4798611111111111,14.5
Factorized,0.15,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1864.5,0.48941666666666667,14.5
Factorized,0.15,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1894.95,0.49906944444444445,13.5
Factorized,0.15,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1855.4625,0.4896111111111111,16.0
Factorized,0.15,100.0,1.0,0.25,0.3,0.6,10,100,standard,False,1865.725,0.4766111111111111,15.5
Factorized,0.15,100.0,1.0,0.25,0.6,0.3,1,10,standard,True,1909.95,0.44425,12.25
Factorized,0.15,100.0,1.0,0.25,0.6,0.3,5,10,standard,True,1833.1875,0.42506944444444444,16.0
Factorized,0.15,100.0,1.0,0.5,1.0,0.3,5,10,nash,False,1896.5,0.5550694444444444,13.25
Factorized,0.15,100.0,1.5,0.5,0.6,0.6,10,100,nash,False,1888.575,0.5650972222222223,13.75
Factorized,0.2,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1914.9499999999998,0.4696111111111111,16.25
Factorized,0.2,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1910.4375,0.4698472222222222,15.25
Factorized,0.2,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1922.8625,0.5094722222222222,16.0
Factorized,0.2,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1918.975,0.42125,15.75
Factorized,0.2,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1906.025,0.38322222222222224,15.5
Factorized,0.2,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1917.05,0.4608611111111111,16.0
Factorized,0.2,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1917.175,0.5424444444444445,15.5
Factorized,0.2,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1917.3125,0.49848611111111113,15.25
Factorized,0.2,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1908.525,0.5283055555555556,15.75
Factorized,0.2,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,1925.9625,0.4008888888888889,15.0
Factorized,0.2,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1914.8125,0.4982361111111111,14.75
Factorized,0.2,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,1917.775,0.5850277777777777,15.75
Factorized,0.2,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,1921.6,0.5131944444444445,15.5
Factorized,0.2,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1907.45,0.4908194444444444,15.5
Factorized,0.2,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1909.5125,0.5872916666666667,16.25
Factorized,0.2,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1915.075,0.49705555555555553,14.75
Factorized,0.2,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,1953.4625,0.5347500000000001,15.0
Factorized,0.2,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1922.575,0.4695972222222222,15.25
Factorized,0.2,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1922.725,0.5481805555555556,15.5
Factorized,0.2,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1910.7125,0.4536527777777778,15.75
Factorized,0.2,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1930.9625,0.45037499999999997,14.75
Factorized,0.2,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1909.925,0.4821388888888889,15.75
Factorized,0.2,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1908.175,0.49056944444444445,15.5
Factorized,0.2,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1941.1125,0.4999444444444444,15.0
Factorized,0.2,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1914.8625,0.49275,15.75
Factorized,0.2,100.0,1.0,0.25,0.3,0.6,10,100,standard,False,1923.1125,0.47975,15.75
Factorized,0.2,100.0,1.0,0.25,0.6,0.3,1,10,standard,True,1926.6,0.45181944444444444,15.25
Factorized,0.2,100.0,1.0,0.25,0.6,0.3,5,10,standard,True,1917.125,0.43394444444444447,15.75
Factorized,0.2,100.0,1.0,0.5,1.0,0.3,5,10,nash,False,1909.275,0.54725,16.0
Factorized,0.2,100.0,1.5,0.5,0.6,0.6,10,100,nash,False,1915.4125,0.55725,15.75
Factorized,0.25,1.0,0.5,0.25,0.3,1.0,10,100,nash,True,1989.55,0.4776527777777778,15.5
Factorized,0.25,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,1978.475,0.47408333333333336,16.0
Factorized,0.25,1.0,0.5,0.5,0.6,0.3,1,10,nash,True,1992.6125,0.5093055555555556,15.0
Factorized,0.25,1.0,0.5,0.5,0.6,0.6,5,100,standard,True,1989.05,0.4327777777777778,15.5
Factorized,0.25,1.0,0.5,0.5,0.6,1.0,5,50,standard,True,1981.6,0.4017222222222222,15.75
Factorized,0.25,1.0,1.0,0.5,0.6,0.3,5,100,standard,True,1986.7625,0.46554166666666663,15.25
Factorized,0.25,1.0,1.0,0.5,1.0,0.3,5,100,nash,False,1993.45,0.5388194444444445,15.0
Factorized,0.25,1.0,1.0,0.75,0.3,0.6,5,50,nash,True,1982.3000000000002,0.49893055555555554,16.25
Factorized,0.25,1.0,1.0,0.75,0.3,0.6,5,100,nash,False,1990.8875,0.5253194444444444,14.75
Factorized,0.25,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2007.95,0.41694444444444445,13.25
Factorized,0.25,1.0,1.5,0.5,0.3,0.3,5,50,nash,True,1983.75,0.49798611111111113,16.0
Factorized,0.25,1.0,1.5,0.5,1.0,0.6,10,10,nash,False,1981.825,0.5783611111111111,16.5
Factorized,0.25,1.0,1.5,0.75,0.3,0.3,5,100,nash,False,2002.375,0.5112222222222222,14.75
Factorized,0.25,10.0,0.5,0.5,0.3,0.3,5,50,standard,False,1986.125,0.49134722222222227,16.0
Factorized,0.25,10.0,0.5,0.5,1.0,0.6,10,100,nash,False,1958.8125,0.5781805555555556,16.75
Factorized,0.25,10.0,0.5,0.75,0.3,0.3,5,50,nash,True,1980.9375,0.49668055555555557,16.0
Factorized,0.25,10.0,0.5,0.75,0.3,0.6,1,100,nash,False,2007.8375,0.5297499999999999,14.75
Factorized,0.25,10.0,0.5,0.75,0.3,1.0,5,100,standard,False,1978.9875,0.4736111111111111,15.75
Factorized,0.25,10.0,0.5,0.75,1.0,0.3,10,50,nash,False,1973.275,0.5435416666666667,16.0
Factorized,0.25,10.0,1.0,0.25,0.6,0.3,5,50,standard,True,1988.6625,0.459125,15.5
Factorized,0.25,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,1988.9125,0.4645138888888889,15.25
Factorized,0.25,10.0,1.0,0.75,0.3,0.3,5,50,standard,True,1984.425,0.4834583333333333,16.0
Factorized,0.25,10.0,1.0,0.75,0.3,0.3,5,100,standard,False,1984.625,0.49109722222222224,16.0
Factorized,0.25,10.0,1.5,0.75,0.3,0.3,1,50,nash,True,1992.725,0.4994444444444444,15.0
Factorized,0.25,10.0,1.5,0.75,0.3,0.6,10,50,nash,True,1987.5875,0.49543055555555554,16.0
Factorized,0.25,100.0,1.0,0.25,0.3,0.6,10,100,standard,False,1990.675,0.4841944444444444,15.75
Factorized,0.25,100.0,1.0,0.25,0.6,0.3,1,10,standard,True,2007.1125,0.4581527777777778,14.0
Factorized,0.25,100.0,1.0,0.25,0.6,0.3,5,10,standard,True,1994.0375,0.442875,15.0
Factorized,0.25,100.0,1.0,0.5,1.0,0.3,5,10,nash,False,1990.325,0.5419305555555556,15.25
Factorized,0.25,100.0,1.5,0.5,0.6,0.6,10,100,nash,False,1980.2,0.5515416666666666,16.25
Factorized,0.3,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,2034.2875,0.48073611111111114,15.75
Factorized,0.3,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2079.825,0.4336111111111111,11.5
Factorized,0.3,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,2027.7,0.4760833333333333,16.0
Factorized,0.35,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,2096.9,0.4847222222222222,15.25
Factorized,0.35,1.0,1.0,0.75,0.6,1.0,10,10,standard,True,2126.6625,0.44856944444444447,10.5
Factorized,0.35,10.0,1.0,0.5,1.0,1.0,1,50,nash,True,2104.8,0.48494444444444446,14.5
Factorized,0.4,1.0,0.5,0.5,0.3,1.0,5,10,standard,False,2156.3,0.48868055555555556,12.25
